fhdi_drug_id,drug_name,drug_dose,dosage_form,food_herb_id,food_herb_name,type,component,dose,time,effect,conclusion
d00162,flurbiprofen,100 mg,not specified,f00001,pomegranate,food,not specified,not specified,not specified,no effect,despite inhibition of cyp2c9 in vitro pomegranate juice and extract had no effect on cyp2c9 activity in human subjects and can be consumed by patients taking cyp2c9 substrate drugs with negligible risk of a pharmacokinetic interaction
d00572,simvastatin,5 mgkg,oral,f00001,pomegranate,food,not specified,900 mld,administration after 3 days of pretreatment,positive,pomegranate can slightly affect its efficacy
d00245,midazolam,6 mg,oral,f00001,pomegranate,food,not specified,237 ml,not specified,no effect,pj does not alter clearance of intravenous or oral midazolam whereas gfj impairs clearance and elevates plasma levels of oral midazolam
d00245,midazolam,2 mg,not specified,f00001,pomegranate,food,not specified,not specified,not specified,no effect,pj does not alter clearance of intravenous or oral midazolam
d00245,midazolam,15 gkg,not specified,f00001,pomegranate,food,not specified,200 ml,twice daily for 2 weeks,no effect,in this small japanese adult volunteer population receiving single subtherapeutic doses of midazolam 2 weeks consumption of pomegranate juice did not significantly alter the pharmacokinetic profile of midazolam compared with that of the control
d00245,midazolam,not specified,not specified,f00001,pomegranate,food,not specified,200 ml,2 weeks,no effect,in this small japanese adult volunteer population receiving single subtherapeutic doses of midazolam 2 weeks consumption of pomegranate juice did not significantly alter the pharmacokinetic profile of midazolam compared with that of the control
d00572,simvastatin,40 mg,not specified,f00001,pomegranate,food,not specified,900 ml,administration after 3 days of pretreatment,no effect,these results suggest that pomegranate juice affects little on the disposition of simvastatin in humans pomegranate juice does not seem to have a clinically relevant inhibitory potential on cyp3a4 activity
d00641,dapoxetine,60 mg,not specified,f00001,pomegranate,food,not specified,250 ml,administration after 3 days of pretreatment,no effect,pomegranate juice has little effect on dapoxetine pharmacokinetics
d00894,cyclosporine,200 mg,not specified,f00001,pomegranate,food,not specified,500 ml,not specified,no effect,cyclosporine is metabolized in the intestine and the liver by cyp3a4 and cyp3a5 in humans
d00894,cyclosporine,not specified,capsule,f00001,pomegranate,food,not specified,not specified,not specified,no effect,single dose administration of pomegranate juice with cyclosporine did not significantly affect the oral bioavailability of cyclosporine
d00635,artemether,80 mg,not specified,f00001,pomegranate,food,not specified,250 ml,2 times a day administration after 14 days of pretreatment,no effect,the administration of pomegranate juice had no significant effect on the pharmacokinetic profile of artemether
d00230,metformin,500 mgd,oral,f00001,pomegranate,food,not specified,200 ml,daily for 8 weeks,possible,due to the effect of combined atpji in improving t2dm risk factors it could be recommended for t2dm patients to prevent increased liver enzymes and insulin resistance
d01002,panobinostat,not specified,capsule,f00001,pomegranate,food,not specified,not specified,not specified,positive,instruct patients to avoid star fruit pomegranate or pomegranate juice and grapefruit or grapefruit juice because these foods are known to inhibit cyp3a enzymes
d00065,buspirone,10 mgkg,not specified,f00001,pomegranate,food,not specified,10 mlkg,not specified,possible,repeated administration of pomegranate juice can affect the cyp3a metabolism of buspirone in the intestine and liver of rats
d00265,nitrendipine,10 mgkg,not specified,f00001,pomegranate,food,not specified,not specified,not specified,possible,longterm consumption of pomegranate juice can significantly delay nitrendipine metabolism
d00241,metronidazole,14 mgkg,not specified,f00001,pomegranate,food,not specified,5 mlkg,30 min before drug twice a day for 2 days,possible,metronidazole is mainly metabolized by cyp2a6 but cyp3a4 plays a role in the formation of 2hydroxymetronidazole it is expected that a single consumption of pomegranate juice may have no impact on metronidazole metabolism but multiple doses may increase the bioavailability of metronidazole
d00370,tolbutamide,20 mgkg,not specified,f00001,pomegranate,food,not specified,3 ml,not specified,possible,pomegranate juice ingestion inhibits the intestinal metabolism of tolbutamide without inhibiting the hepatic metabolism in rats thus we discovered that pomegranate juice inhibited human cyp2c9 activity and furthermore increased tolbutamide bioavailability in rats
d00370,tolbutamide,20 mgkg,not specified,f00001,pomegranate,food,not specified,3 ml,1 h before the drug,possible,a single dose of pomegranate juice inhibits cyp2c9 metabolism in the rat intestine rather than in the liver of tolbutamide
d01217,warfarin,05 mgkg,not specified,f00001,pomegranate,food,not specified,not specified,not specified,possible,rwarfarin is mainly metabolized by cyp1a2 while swarfarin is mainly metabolized by cyp2c9 due to the discovery that pomegranate inhibits cyp2c9 it is expected that pomegranate will increase the inr of warfarin treated patients
d01334,sildenafil,5 mlkg,not specified,f00001,pomegranate,food,not specified,2 4 6 and 8 ml,16 h before the drug,possible,sildenafil is metabolized mainly by cyp3a4 79 and to a lesser extent by cyp2c9 19 since pomegranate constituents impair cyp2c9 this may be the main reason for increasing sildenafil bioavailability and therefore prolonging the erection period in addition the delay in absorption may be related to pomegranate interaction with cyp3a4
d01104,brexpiprazole,30 mgkg,oral,f00001,pomegranate,food,not specified,10 mlkg,administration after 7 days of pretreatment,possible,the results show that gfj and pj affect the pharmacokinetic profile of brx and hence advice needs to be given to patients
d00770,tacrolimus,3 mgkg,oral,f00001,pomegranate,food,not specified,200 mgkg,singledose,possible,based on the integrated in vivo and in silico studies we concluded that pomegranate rind extract interacts strongly with cyp isoenzyme and is therefore responsible for the altered pk profile of tac
d00770,tacrolimus,3 mgkg,oral,f00001,pomegranate,food,not specified,200 mgkg,administration after 7 days of pretreatment,possible,based on the integrated in vivo and in silico studies we concluded that pomegranate rind extract interacts strongly with cyp isoenzyme and is therefore responsible for the altered pk profile of tac
d00756,saquinavir,100 mgkgd 15 days,not specified,f00001,pomegranate,food,not specified,not specified,not specified,possible,sarquinavir is metabolized by cyp3a4 in the gastrointestinal tract and liver and its absorption in the intestinal mucosa is also mediated by the efflux transporter pglycoprotein pomegranate juice increases the transport of saquinavir to the mucosal compartment in a timedependent manner similar to pglycoprotein inhibitors
d00073,carbamazepine,50 mgkg,not specified,f00001,pomegranate,food,not specified,2 ml,1 h before the drug,possible,pomegranate juice alters the carbamazepine pharmacokinetics in rats
d00265,nitrendipine,10 mgkg,not specified,f00001,pomegranate,food,not specified,3 ml,not specified,possible,these results suggest that pj inhibits the intestinal metabolism of nitrendipine without inhibiting the hepatic metabolism in rats therefore the concomitant use of pj as food supplement and nitrendipine should be avoided although further clinical studies need to be undertaken in order to confirm this finding
d00265,nitrendipine,10 mgkg,oral,f00001,pomegranate,food,not specified,3 mlkgday,7 days,possible,therefore the concomitant use of pj as food supplement and nitrendipine should be avoided although further clinical studies need to be undertaken in order to confirm this finding
d00230,metformin,20 mgkg,oral,f00001,pomegranate,food,not specified,5 ml,30 min before the drug,possible,furthermore since metformin is metabolized by cyp2c11 2d1 and 3a1 in rats then the study above indicates that pj may not interact with the latter enzymes
d00230,metformin,20 mgkg,not specified,f00001,pomegranate,food,not specified,not specified,not specified,possible,pomegranate juices should be cautiously administrated with metformin
d00370,tolbutamide,20 mgkg,oral,f00001,pomegranate,food,not specified,3 ml,shared for 4 weeks,possible,from this study it can be concluded that the combination of pj and tol exhibited profound protection compared to tol alone against diabetic complications
d00032,theophylline,5 mgkg,not specified,f00001,pomegranate,food,not specified,5 ml 30 min before the theophylline dose,not specified,no effect,theophylline is metabolized by cyp45 microsomal enzymes mainly by cyp1a2 and to a lesser extent by cyp2e1 thus pomegranate juice may not interfere with those enzymes
d00301,piracetam,50 mgkg,not specified,f00001,pomegranate,food,not specified,12 mlkg,before the drug,no effect,80 of piracetam is excreted unchanged in the urine and therefore you would not expect to observe an effect of pomegranate juice administration on piracetam pk parameters 
d00188,phenelzine,not specified,tablet,f00002,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00199,isocarboxazid,not specified,tablet,f00002,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00188,phenelzine,not specified,tablet,f00003,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00199,isocarboxazid,not specified,tablet,f00003,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d01347,eltrombopag,75 mg,tablet,f00004,lowfat lowcalcium meal,food,fasted overnight,not specified,immediately after meal,no effect,concomitant administration of eltrombopag with highcalcium food or an antacid containing aluminum and magnesium was associated with significantly reduced systemic exposure whereas lowcalcium meals were not a single dose of eltrombopag was generally well tolerated in these healthy volunteers
d00043,aspirin,not specified,not specified,f00005,tamarind,food,not specified,not specified,not specified,positive,tamarind is used as a food and a medicine so avoid using it in combination with aspirin
d00043,aspirin,not specified,not specified,f00005,tamarind,food,not specified,not specified,not specified,possible,nonsteroidal antiinflammatory drugs nsaids particularly aspirin with tamarind enhancing the risk of bleeding
d00199,isocarboxazid,not specified,tablet,f00006,anchovy,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00188,phenelzine,not specified,tablet,f00007,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00199,isocarboxazid,not specified,tablet,f00007,herring,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00245,midazolam,not specified,not specified,f00008,mangifera indica,food,not specified,not specified,not specified,possible,msbe apparently inhibits the activity of human cyp3a4
d00070,verapamil,not specified,not specified,f00008,mangifera indica,food,not specified,not specified,not specified,possible,the results demonstrate for the first time that m indica and polyphenols derived may affect the activity of the multidrug transporter pgp abcb1 suggesting the possibility of herbdrug interactions to be explored in depth
d00741,dabigatran,not specified,oral,f00008,mango,food,mangiferin,not specified,not specified,possible,mangiferin inhibition of cytochrome p450 1a11a2 3a4 2b6 2c8 2d6 and pgp
d01036,rivaroxaban,not specified,oral,f00008,mango,food,mangiferin,not specified,not specified,possible,mangiferin inhibition of cytochrome p450 1a11a2 3a4 2b6 2c8 2d6 and pgp
d01057,apixaban,not specified,oral,f00008,mango,food,mangiferin,not specified,not specified,possible,mangiferin inhibition of cytochrome p450 1a11a2 3a4 2b6 2c8 2d6 and pgp
d01174,edoxaban,not specified,oral,f00008,mango,food,mangiferin,not specified,not specified,possible,mangiferin inhibition of cytochrome p450 1a11a2 3a4 2b6 2c8 2d6 and pgp
d01061,betrixaban,not specified,oral,f00008,mango,food,mangiferin,not specified,not specified,possible,mangiferin inhibition of cytochrome p450 1a11a2 3a4 2b6 2c8 2d6 and pgp
d01002,panobinostat,not specified,capsule,f00009,carambola,food,not specified,not specified,not specified,positive,instruct patients to avoid star fruit pomegranate or pomegranate juice and grapefruit or grapefruit juice because these foods are known to inhibit cyp3a enzymes
d01194,venetoclax,not specified,tablet,f00009,starfruit,food,not specified,not specified,not specified,positive,avoid grapefruit products seville oranges and starfruit during treatment with venclexta as they contain inhibitors of cyp3a
d00073,carbamazepine,50 mgkg,oral,f00009,star fruit,food,not specified,2 ml,not specified,possible,these results suggest that star fruit juice impairs the function of enteric cyp3a but not of hepatic cyp3a star fruit juice alters the carbamazepine pharmacokinetics in rats
d00108,cyclophosphamide,80 mgkg,intraperitoneal injections,f00010,cottonseed,food,oligopeptide,5 10 20mgml 025 ml,for days 410 the mice were administered as follows model control group cy physiological saline was administered via gavage in 025 ml three oligopeptide groups cp5 cp10 and cp20 at 5 10 and 20 mgml oligopeptide were administered via gavage in 025 ml solutions,possible,these findings indicated that oligopeptide derived from solidstate fermented cottonseed meal had a strong immuneenhancing activity as well as a protective effect against immunosuppression induced by cyclophosphamide in mice
d00403,levothyroxine,not specified,tablet,f00010,cottonseed,food,not specified,not specified,not specified,negative,avoid use cottonseed meal
d00032,theophylline,200 mg,oral,f00011,fenugreek,food,not specified,25 g,administration after 7 days of pretreatment,possible,the concurrent use of fenugreek or garden cress alters theophylline pharmacokinetic behavior in an animal model
d00016,phenytoin,50 mg,oral,f00011,fenugreek,food,not specified,25 g,twice daily for seven days,possible,the phenytoin disposition can be significantly altered by the concurrent consumption of tested herbal products
d01036,rivaroxaban,not specified,oral,f00011,fenugreek,food,trigonelline,not specified,not specified,possible,trigonelline induction of bcrp
d01057,apixaban,not specified,oral,f00011,fenugreek,food,trigonelline,not specified,not specified,possible,trigonelline induction of bcrp
d00073,carbamazepine,40 mgkg,oral,f00011,fenugreek,food,not specified,300 mgkg,administration after 7 days of pretreatment,no effect,the outcomes of present study suggested that fenugreek may not likely to interfere cyclosporine and carbamazepine pharmacokinetics when coadministered with these drugs
d00894,cyclosporine,30 mgkg,oral,f00011,fenugreek,food,not specified,300 mgkg,administration after 7 days of pretreatment,no effect,the outcomes of present study suggested that fenugreek may not likely to interfere cyclosporine and carbamazepine pharmacokinetics when coadministered with these drugs
d00240,metoprolol,10 mgkg,oral,f00011,fenugreek,food,not specified,300 mgkg,administration after 14 days of pretreatment,possible,the combination of investigated herbs and mt had a beneficial effect on hypertension however the concurrent administration of drugs particularly those predominantly cleared through cyp450 2d6catalyzed metabolism with the three investigated herbs should be considered with caution
d00036,amlodipine,not specified,oral,f00011,fenugreek,food,not specified,not specified,not specified,possible,results of pharmacodynamics and pharmacokinetics studies suggested that simultaneous administration of fenugreek or n sativa with amlodipine improved the pharmacological response of amlodipine in hypertensive rats though there was no remarkable change in pharmacokinetic parameters cmax kel elimination t12 and auc0t
d00589,clopidogrel,not specified,oral,f00011,fenugreek,food,not specified,not specified,not specified,possible,the concurrent use of black seed fenugreek or garden cress can alter the pharmacokinetics and pharmacodynamics of clopidogrel to varying degrees due to the presence of various bioactive polyphenols this is probably due to changes in drug disposition and its antiplatelet action further confirmation can determine the clinical relevance of these observations and identify the exact constituents responsible for such activities
d00257,nevirapine,200 mg,oral,f00012,piper nigrum,food,piperine,20 mg,administration after 7 days of pretreatment,positive,this pilot study provided evidence for enhanced bioavailability of nevirapine when administered with piperine further indepth studies in a large number of patients receiving different dosage regimens are required to confirm these results and further our understanding of a possible clinical advantage arising from the bioenhancement capabilities of piperine in the treatment of hiv infection
d00741,dabigatran,not specified,oral,f00012,pepper,food,piperine,not specified,not specified,possible,piperine inhibition of cytochrome p450 3a4 2c9 2e1 pgp and bcrp
d01036,rivaroxaban,not specified,oral,f00012,pepper,food,piperine,not specified,not specified,possible,piperine inhibition of cytochrome p450 3a4 2c9 2e1 pgp and bcrp
d01057,apixaban,not specified,oral,f00012,pepper,food,piperine,not specified,not specified,possible,piperine inhibition of cytochrome p450 3a4 2c9 2e1 pgp and bcrp
d01174,edoxaban,not specified,oral,f00012,pepper,food,piperine,not specified,not specified,possible,piperine inhibition of cytochrome p450 3a4 2c9 2e1 pgp and bcrp
d01061,betrixaban,not specified,oral,f00012,pepper,food,piperine,not specified,not specified,possible,piperine inhibition of cytochrome p450 3a4 2c9 2e1 pgp and bcrp
d00774,rosuvastatin,1 mgkg,oral,f00012,piper nigrum,food,piperine,10 mgkg,not specified,possible,taken together these results indicate that the natural products such as pip significantly inhibit rsv transport in to bile and increased the plasma exposure auclast of rsv
d00774,rosuvastatin,5 mgkg,oral,f00012,piper nigrum,food,piperine,10 mgkg,not specified,possible,taken together these results indicate that the natural products such as pip significantly inhibit rsv transport in to bile and increased the plasma exposure auclast of rsv
d00127,domperidone,10 mgkg,oral,f00012,pepper,food,piperine,20 mgkg,administration after 7 days of pretreatment,possible,piperine enhanced the oral bioavailability of domperidone by inhibiting cyp3a1 and pgp in rats this observation suggests the possibility that the combination of piperine with other cyp3a4 and pgp dual substrates may also improve bioavailability
d00127,domperidone,20 mgkg,oral,f00012,piper nigrum,food,piperine,20 mgkg,not specified,possible,these results suggest that an important pharmacokinetic interaction may occur if piperine is administered concurrently with domperidone
d00073,carbamazepine,40 mgkg tid,oral,f00012,piper nigrum,food,piperine,35 mgkg,coadministered 14 days,possible,singledose cotreatment of cbz and piperine did not result in any significant pk or pharmacodynamic interactions whereas their longterm cotreatment could lead to inhibited liver metabolism and the markedly reduced systemic and brain exposure of cbz and cbze
d00073,carbamazepine,40 mgkg tid,oral,f00012,piper nigrum,food,piperine,35 mgkg,single dose,no effect,singledose cotreatment of cbz and piperine did not result in any significant pk or pharmacodynamic interactions whereas their longterm cotreatment could lead to inhibited liver metabolism and the markedly reduced systemic and brain exposure of cbz and cbze
d00149,fexofenadine,10 mgkg,not specified,f00012,piper nigrum,food,piperine,1020 mgkg,not specified,possible,piperine significantly enhanced the oral exposure of fexofenadine in rats likely by the inhibition of pglycoproteinmediated cellular efflux during the intestinal absorption suggesting that the combined use of piperine or piperinecontaining diet with fexofenadine may require close monitoring for potential drugdiet interactions
d01217,warfarin,not specified,not specified,f00013,cranberry,food,not specified,3 l,consumed about 3 litres of pomegranate juice as pomegreat over the previous week,harmful,pomegranate juice is growing in popularity in the uk we report a potential interaction between pomegranate juice and warfarin laboratory studies have shown that pomegranate juice inhibits cytochrome p450 enzymes involved in warfarin metabolism as with previous reports of interactions between food and warfarin this case does not definitively prove the association between pomegranate juice consumption and increased warfarin bioactivity but highlights the importance of taking a complete drug food and juice history when assessing patients with unstable anticoagulation
d00894,cyclosporine,200 mg,not specified,f00013,cranberry,food,not specified,240 ml,not specified,no effect,cranberry juice had no clinically significant effect on the overall disposition of cyclosporine
d01217,warfarin,18 mgweek,not specified,f00013,cranberry,food,not specified,24 ozd,not specified,harmful,this case suggests a definite relationship between cranberry juice and warfarin
d01217,warfarin,45 mgweek,not specified,f00013,cranberry,food,not specified,05 gallon,before drug,harmful,the combination of warfarin administration and cranberry juice ingestion appeared to be associated with an elevated inr without bleeding in this elderly patientthe naranjo probability scale score was 3 suggesting that there was a possible interaction between warfarin and cranberry juice while the modified naranjo scale score adapted for anticoagulants was 5 rating the interaction as probable
d01217,warfarin,not specified,not specified,f00013,american cranberry,food,not specified,300400 mld,for 2 weeks,harmful,fatal haemopericardium and gastrointestinal haemorrhage due to possible interaction of cranberry juice with warfarin
d01217,warfarin,stable doses,not specified,f00013,cranberry,food,not specified,240 ml,twice daily for 1 week,no effect,cranberry juice 240 ml twice daily for 1 week did not alter the pharmacodynamics of warfarin in patients
d00149,fexofenadine,3 mgkg,not specified,f00013,cranberry,food,not specified,not specified,not specified,possible,cranberry juice may cause drug interactions with oatp substrates
d00259,nifedipine,30 mgkg,not specified,f00013,cranberry,food,not specified,2 ml,not specified,possible,cranberry juice alters nifedipine pharmacokinetics in rats
d01217,warfarin,02 mgkg,oral,f00013,cranberry,food,not specified,not specified,not specified,possible,the combined use of cranberry with warfarin should be avoided
d01217,warfarin,not specified,not specified,f00014,cranberry,food,not specified,3 l,consumed about 3 litres of pomegranate juice as pomegreat over the previous week,harmful,pomegranate juice is growing in popularity in the uk we report a potential interaction between pomegranate juice and warfarin laboratory studies have shown that pomegranate juice inhibits cytochrome p450 enzymes involved in warfarin metabolism as with previous reports of interactions between food and warfarin this case does not definitively prove the association between pomegranate juice consumption and increased warfarin bioactivity but highlights the importance of taking a complete drug food and juice history when assessing patients with unstable anticoagulation
d00894,cyclosporine,200 mg,not specified,f00014,cranberry,food,not specified,240 ml,not specified,no effect,cranberry juice had no clinically significant effect on the overall disposition of cyclosporine
d01217,warfarin,18 mgwk,not specified,f00014,cranberry,food,not specified,24 ozd,not specified,harmful,this case suggests a definite relationship between cranberry juice and warfarin
d01217,warfarin,45 mgweek,not specified,f00014,cranberry,food,not specified,05 gallon,before drug,harmful,the combination of warfarin administration and cranberry juice ingestion appeared to be associated with an elevated inr without bleeding in this elderly patientthe naranjo probability scale score was 3 suggesting that there was a possible interaction between warfarin and cranberry juice while the modified naranjo scale score adapted for anticoagulants was 5 rating the interaction as probable
d01217,warfarin,not specified,not specified,f00014,european cranberry,food,not specified,300400 mld,for 2 weeks,harmful,fatal haemopericardium and gastrointestinal haemorrhage due to possible interaction of cranberry juice with warfarin
d01217,warfarin,stable doses,not specified,f00014,cranberry,food,not specified,240 ml,twice daily for 1 week,no effect,cranberry juice 240 ml twice daily for 1 week did not alter the pharmacodynamics of warfarin in patients
d00149,fexofenadine,3 mgkg,not specified,f00014,cranberry,food,not specified,not specified,not specified,possible,cranberry juice may cause drug interactions with oatp substrates
d00259,nifedipine,30 mgkg,not specified,f00014,cranberry,food,not specified,2 ml,not specified,possible,cranberry juice alters nifedipine pharmacokinetics in rats
d01217,warfarin,02 mgkg,oral,f00014,cranberry,food,not specified,not specified,not specified,possible,the combined use of cranberry with warfarin should be avoided
d00770,tacrolimus,not specified,not specified,f00015,turmeric,food,not specified,not specified,15 spoonfuls daily,harmful,curcumin reduced expression of intestinal cyp3a
d00259,nifedipine,10 mg,oral,f00015,turmeric,food,not specified,480 mg,not specified,no effect,consumption of the turmeric extract did not affect the pharmacokinetics of nifedipine after a single oral administration
d00043,aspirin,100 mg,tablet,f00015,turmeric,food,not specified,500 mg,3 weeks,no effect,this study on healthy volunteers provides good evidence on the lack of bleeding risks of curcuma longa angelica sinensis and panax ginseng either used alone or in combination with aspirin
d00542,paclitaxel,175 mgm2 intravenous infusion for 90 min from day 2 until the morning of day 22,injection,f00015,turmeric,food,not specified,2 gd,administration after 21 days of pretreatment,no effect,turmeric at the recommended dose can be combined safely with paclitaxel
d00864,vitamin k,not specified,oral,f00015,turmeric,food,not specified,25 g,1 tea spoon 25 gday administration after 5 days of pretreatment,harmful,curcumin  bisdemethoxycurcumin prolong prothrombin  activated partial thromboplastin times  inhibit activated factor x and thrombin synthesis  an antiplatelet effect of curcumin as well as a prolonged bleeding time animal studies  pk interaction turmeric  inhibit 2c9 and 3a4  curcumin  inhibit pgp
d00741,dabigatran,not specified,oral,f00015,turmeric,food,curcumin,not specified,not specified,possible,curcumin inhibition of cytochrome p450 1a2 3a4 2b6 2c9 2d6 and pgp inductioninhibition of bcrp exhibits antiplatelet activity may enhance effects of anticoagulant
d01036,rivaroxaban,not specified,oral,f00015,turmeric,food,curcumin,not specified,not specified,possible,curcumin inhibition of cytochrome p450 1a2 3a4 2b6 2c9 2d6 and pgp inductioninhibition of bcrp exhibits antiplatelet activity may enhance effects of anticoagulant
d01057,apixaban,not specified,oral,f00015,turmeric,food,curcumin,not specified,not specified,possible,curcumin inhibition of cytochrome p450 1a2 3a4 2b6 2c9 2d6 and pgp inductioninhibition of bcrp exhibits antiplatelet activity may enhance effects of anticoagulant
d01174,edoxaban,not specified,oral,f00015,turmeric,food,curcumin,not specified,not specified,possible,curcumin inhibition of cytochrome p450 1a2 3a4 2b6 2c9 2d6 and pgp inductioninhibition of bcrp exhibits antiplatelet activity may enhance effects of anticoagulant
d01061,betrixaban,not specified,oral,f00015,turmeric,food,curcumin,not specified,not specified,possible,curcumin inhibition of cytochrome p450 1a2 3a4 2b6 2c9 2d6 and pgp inductioninhibition of bcrp exhibits antiplatelet activity may enhance effects of anticoagulant
d01217,warfarin,1 mgkg,injection,f00015,turmeric,food,not specified,6 18 mgkg,apply medication after seven days,possible,the cx administration in a higher dose caused alteration on wf pharmacokinetics suggesting the need for clinical evaluation of the interaction between cx and wf
d01217,warfarin,1 mgkg,injection,f00015,turmeric,food,not specified,6 18 mgkg,warfarin was administered daily treatment was administered on the seventh day and samples were taken on the tenth day,possible,the cx administration in a higher dose caused alteration on wf pharmacokinetics suggesting the need for clinical evaluation of the interaction between cx and wf
d00647,secnidazole,2g,not specified,f00016,yogurt,food,not specified,6 oz,not specified,no effect,take with or without food sprinkle onto applesauce yogurt or pudding and ingest without crushing the granules
d00647,secnidazole,2 g,not specified,f00016,yogurt,food,not specified,40 oz,not specified,no effect,the pharmacokinetics of sym1219 were similar when administered in yogurt
d00114,amphetamine,not specified,not specified,f00016,yogurt,food,not specified,not specified,not specified,no effect,bioavailability was similar at doses between 5 and 30 mg and was not impacted by meal consumption or sprinkling on food
d00250,moclobemide,not specified,not specified,f00016,yogurt,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements avoid excess consumption 100mg of tyramine
d00188,phenelzine,not specified,tablet,f00016,yogurt,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00199,isocarboxazid,not specified,tablet,f00016,yogurt,food,tyramine,not specified,not specified,possible,avoid tyraminecontaining foods and supplements
d00245,midazolam,not specified,not specified,f00017,clementine,food,not specified,not specified,not specified,possible,patients taking drugs with a narrow therapeutic index that are cyp3a substrates should be cautious when consuming clementines or clementine juice
d00770,tacrolimus,not specified,not specified,f00017,clementine,food,not specified,not specified,not specified,possible,patients taking drugs with a narrow therapeutic index that are cyp3a substrates should be cautious when consuming clementines or clementine juice
d00093,ciprofloxacin,20 mgkg,not specified,f00018,spinach,food,not specified,500 mgkg,not specified,possible,the intake of thylakoidrich spinach extract may reduce the absorption of drugs that form a chelate with polyvalent metal cations such as ciprofloxacin
d00194,indomethacin,10 mgkg,not specified,f00018,spinach,food,not specified,300 mgkg,not specified,possible,did not significantly alter the pharmacokinetic properties of drug
d00754,griseofulvin,50 mgkg,not specified,f00018,spinach,food,not specified,100 mgkg,not specified,possible,did not significantly alter the pharmacokinetic properties of drug
d00754,griseofulvin,50 mgkg,not specified,f00018,spinach,food,not specified,300 mgkg,not specified,possible,did not significantly alter the pharmacokinetic properties of drug
d00291,phenacetin,900 mg,capsule,f00019,grape,food,not specified,200 ml,not specified,positive,these findings suggest enhanced firstpass metabolism of phenacetin due to cyp1a2 activation by grape juice or to desaturation of cyp1a2 isoenzymes secondary to a slower rate of phenacetin absorption
d00932,dextromethorphan,30 mg,oral,f00019,grape,food,not specified,300 mgd,administration after 3 days of pretreatment,no effect,supplementation of gse did not significantly affect the urinary dextromethorphan to dextrorphan metabolic ratio in healthy volunteers the results of this clinical study indicate that gse appears to be safe to combine with drugs extensively metabolized by cyp2d6 such as dextromethorphan and tamoxifen
d00687,blonanserin,8 mg,not specified,f00019,grape,food,not specified,250 ml,not specified,positive,grapefruit juice increased bioavailability and may have reduced systemic clearance of blonanserin further intestinal cyp3a4 and hepatic cyp3a4 might be postulated to explain the delayed elimination of blonanserinpatients taking highdose blonanserin also need to be cautious about the ingestion of grapefruit juice
d00019,acetaminophen,not specified,not specified,f00019,grape,food,not specified,200 ml,not specified,no effect,grape juice has no effect on paracetamol
d00551,diltiazem,180 mg,extended release capsule,f00019,grape,food,not specified,200 ml,not specified,no effect,there is no significant influence of grape juice or orange juice on the pharmacokinetics and pharmacodynamics of diltiazem
d00894,cyclosporine,200 mg,not specified,f00019,grape,food,not specified,200 ml,not specified,negative,a free interval of at least 2 hours between cya intake and purple juice drinking is recommended
d00828,digoxin,not specified,not specified,f00019,grape,food,not specified,not specified,not specified,possible,the improvement in bioavailability of digoxin resulted from the inhibition of pgp by purple grape juice at the level of the gastrointestinal wallpurple grape juice can increase the bioavailability of orally administered digoxin especially with multiple doses
d00043,aspirin,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,possible,it could be concluded that taking vit c first doesnt affect the absorption of asp and may be good for health in contrast it is not good to take vit c immediately as one have just taken asp because the existence of asp reduce the absorption of vit c for human body
d00741,dabigatran,not specified,oral,f00019,grape,food,resveratrol,not specified,not specified,possible,resveratrol inhibition of cytochrome p450 1a1 1a2 3a4 2c8 2c9 2c19 2d6 and pgp induction of bcrp
d01174,edoxaban,not specified,oral,f00019,grape,food,resveratrol,not specified,not specified,possible,resveratrol inhibition of cytochrome p450 1a1 1a2 3a4 2c8 2c9 2c19 2d6 and pgp induction of bcrp
d01061,betrixaban,not specified,oral,f00019,grape,food,resveratrol,not specified,not specified,possible,resveratrol inhibition of cytochrome p450 1a1 1a2 3a4 2c8 2c9 2c19 2d6 and pgp induction of bcrp
d00878,lutein,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,positive,take with foods containing vitamin c
d00751,bortezomib,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,possible,foods high in vitamin c include citrus fruits and beverages
d00511,chromic chloride,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,positive,take with foods containing vitamin c
d00508,chromium,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,positive,take with foods containing vitamin c vitamin c may increase the absorption of chromium
d00799,chromium picolinate,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,positive,take with foods containing vitamin c
d00611,ferrous sulfate,not specified,not specified,f00019,grape,food,vitamin c,not specified,not specified,positive,take with foods containing vitamin c
